korean,code
안도라,AD
아랍에미리트,AE
아프가니스탄,AF
앤티가바부다,AG
앵귈라,AI
알바니아,AL
아르메니아,AM
앙골라,AO
남극,AQ
아르헨티나,AR
아메리칸사모아,AS
오스트리아,AT
오스트레일리아,AU
아루바,AW
올란드,AX
아제르바이잔,AZ
보스니아,BA
바베이도스,BB
방글라데시,BD
벨기에,BE
부르키나파소,BF
불가리아,BG
바레인,BH
부룬디,BI
베냉,BJ
생바르텔레미,BL
버뮤다,BM
브루나이,BN
볼리비아,BO
보네르,BQ
브라질,BR
바하마,BS
부탄,BT
부베섬,BV
보츠와나,BW
벨라루스,BY
벨리즈,BZ
캐나다,CA
코코스,CC
콩고,CD
중앙아프리카공화국,CF
콩고,CG
스위스,CH
코트디부아르,CI
쿡,CK
칠레,CL
카메룬,CM
중국,CN
콜롬비아,CO
코스타리카,CR
쿠바,CU
카보베르데,CV
퀴라소,CW
크리스마스섬,CX
키프로스,CY
체코,CZ
독일,DE
지부티,DJ
덴마크,DK
도미니카,DM
도미니카,DO
알제리,DZ
에콰도르,EC
에스토니아,EE
이집트,EG
서사하라,EH
에리트레아,ER
스페인,ES
에티오피아,ET
핀란드,FI
피지,FJ
포클랜드,FK
미크로네시아,FM
페로,FO
프랑스,FR
가봉,GA
영국,GB
그레나다,GD
조지아,GE
기아나,GF
건지섬,GG
가나,GH
지브롤터,GI
그린란드,GL
감비아,GM
기니,GN
과들루프,GP
기니,GQ
그리스,GR
사우스조지아,GS
과테말라,GT
괌,GU
기니비사우,GW
가이아나,GY
홍콩,HK
허드맥도널드,HM
온두라스,HN
크로아티아,HR
아이티,HT
헝가리,HU
인도네시아,ID
아일랜드,IE
이스라엘,IL
맨섬,IM
인도,IN
인도양,IO
이라크,IQ
이란,IR
아이슬란드,IS
이탈리아,IT
저지섬,JE
자메이카,JM
요르단,JO
일본,JP
케냐,KE
키르기스스탄,KG
캄보디아,KH
키리바시,KI
코모로,KM
세인트키츠,KN
북한,KP
대한민국,KR
쿠웨이트,KW
케이맨,KY
카자흐스탄,KZ
라오스,LA
레바논,LB
세인트루시아,LC
스리랑카,LK
리히텐슈타인,LI
라이베리아,LR
레소토,LS
리투아니아,LT
룩셈부르크,LU
라트비아,LV
리비아,LY
모로코,MA
모나코,MC
몰도바,MD
몬테네그로,ME
생마르탱,MF
마다가스카르,MG
마셜,MH
북마케도니아,MK
말리,ML
미얀마,MM
몽골,MN
마카오,MO
북마리아나,MP
마르티니크,MQ
모리타니,MR
몬트세랫,MS
몰타,MT
모리셔스,MU
몰디브,MV
말라위,MW
멕시코,MX
말레이시아,MY
모잠비크,MZ
나미비아,NA
누벨칼레도니,NC
니제르,NE
노퍽섬,NF
나이지리아,NG
니카라과,NI
네덜란드,NL
노르웨이,NO
네팔,NP
나우루,NR
니우에,NU
뉴질랜드,NZ
오만,OM
파나마,PA
페루,PE
폴리네시아,PF
파푸아뉴기니,PG
필리핀,PH
파키스탄,PK
폴란드,PL
생피에르,PM
핏케언,PN
푸에르토리코,PR
팔레스타인,PS
포르투갈,PT
팔라우,PW
파라과이,PY
카타르,QA
레위니옹,RE
루마니아,RO
세르비아,RS
러시아,RU
르완다,RW
사우디아라비아,SA
솔로몬 제도,SB
세이셸,SC
수단,SD
스웨덴,SE
싱가포르,SG
세인트헬레나,SH
슬로베니아,SI
스발바르,SJ
슬로바키아,SK
시에라리온,SL
산마리노,SM
세네갈,SN
소말리아,SO
수리남,SR
남수단,SS
상투메,ST
엘살바도르,SV
신트마르턴,SX
시리아,SY
에스와티니,SZ
터크스,TC
차드,TD
남극,TF
토고,TG
태국,TH
타지키스탄,TJ
토켈라우,TK
동티모르,TL
투르크메니스탄,TM
튀니지,TN
통가,TO
튀르키예,TR
트리니다드,TT
투발루,TV
대만,TW
탄자니아,TZ
우크라이나,UA
우간다,UG
군소,UM
미국,US
우루과이,UY
우즈베키스탄,UZ
바티칸,VA
세인트빈센트,VC
베네수엘라,VE
버진아일랜드,VG
버진아일랜드,VI
베트남,VN
바누아투,VU
왈리스푸투나,WF
사모아,WS
예멘,YE
마요트,YT
남아프리카공화국,ZA
잠비아,ZM
짐바브웨,ZW